Date,Open,High,Low,Close,Volume,,5MA,20MA,Date,5MA-20MA,
09/05/14,4.04,4.13,4.04,4.12,2342300,4.12,3.98,3.78,09/05/14,0.201,UP
09/08/14,4.11,4.14,4.06,4.12,1857200,4.12,4.05,3.802,09/08/14,0.248,UP
09/09/14,4.1,4.23,3.89,3.94,5572500,3.94,4.05,3.814,09/09/14,0.237,DOWN
09/10/14,3.96,4.01,3.87,3.89,2189800,3.89,4.028,3.826,09/10/14,0.202,DOWN
09/11/14,3.86,3.9,3.77,3.83,2887100,3.83,3.98,3.834,09/11/14,0.146,DOWN
09/12/14,3.85,3.85,3.74,3.83,2928200,3.83,3.922,3.84,09/12/14,0.083,DOWN
09/15/14,3.81,3.84,3.72,3.75,2157800,3.75,3.848,3.843,09/15/14,0.006,DOWN
09/16/14,3.75,3.76,3.58,3.64,4343900,3.64,3.788,3.837,09/16/14,-0.049,DOWN
09/17/14,3.68,3.7,3.6,3.63,2177100,3.63,3.736,3.829,09/17/14,-0.093,DOWN
09/18/14,3.64,3.82,3.64,3.81,4677700,3.81,3.732,3.832,09/18/14,-0.1,DOWN
09/19/14,3.85,3.93,3.75,3.76,6357800,3.76,3.718,3.833,09/19/14,-0.115,DOWN
09/22/14,3.75,3.81,3.72,3.74,3966500,3.74,3.716,3.833,09/22/14,-0.117,DOWN
09/23/14,3.73,3.76,3.62,3.63,2253700,3.63,3.714,3.831,09/23/14,-0.117,UP
09/24/14,3.66,3.76,3.66,3.7,1906800,3.7,3.728,3.829,09/24/14,-0.101,UP
09/25/14,3.68,3.69,3.56,3.57,2366500,3.57,3.68,3.823,09/25/14,-0.143,DOWN
09/26/14,3.57,3.62,3.57,3.6,1821100,3.6,3.648,3.817,09/26/14,-0.169,DOWN
09/29/14,3.54,3.56,3.51,3.54,2019600,3.54,3.608,3.806,09/29/14,-0.198,DOWN
09/30/14,3.54,3.58,3.42,3.42,3667100,3.42,3.566,3.78,09/30/14,-0.214,DOWN
10/01/14,3.45,3.57,3.36,3.52,4596700,3.52,3.53,3.756,10/01/14,-0.226,DOWN
10/02/14,3.51,3.56,3.39,3.5,2191900,3.5,3.516,3.727,10/02/14,-0.211,UP
10/03/14,3.56,3.57,3.44,3.45,1097800,3.45,3.486,3.694,10/03/14,-0.208,UP
10/06/14,3.45,3.47,3.29,3.3,1937800,3.3,3.438,3.653,10/06/14,-0.215,DOWN
10/07/14,3.25,3.27,3.16,3.18,2043600,3.18,3.39,3.615,10/07/14,-0.225,DOWN
10/08/14,3.15,3.26,3.12,3.26,2283700,3.26,3.338,3.583,10/08/14,-0.245,DOWN
10/09/14,3.25,3.26,3.14,3.21,3504600,3.21,3.28,3.552,10/09/14,-0.272,DOWN
10/10/14,3.15,3.18,2.95,2.96,2891200,2.96,3.182,3.509,10/10/14,-0.327,DOWN
10/13/14,2.97,2.98,2.87,2.9,2761800,2.9,3.102,3.466,10/13/14,-0.364,DOWN
10/14/14,2.95,3.03,2.92,2.94,7461200,2.94,3.054,3.431,10/14/14,-0.377,DOWN
10/15/14,2.88,3.07,2.82,3.06,4281900,3.06,3.014,3.403,10/15/14,-0.389,DOWN
10/16/14,2.98,3.13,2.95,3.13,2502100,3.13,2.998,3.369,10/16/14,-0.371,UP
10/17/14,3.19,3.19,3.05,3.06,1872000,3.06,3.018,3.334,10/17/14,-0.316,UP
10/20/14,3.04,3.08,2.98,3.05,1600700,3.05,3.048,3.299,10/20/14,-0.251,UP
10/21/14,3.08,3.15,3.04,3.13,1315000,3.13,3.086,3.274,10/21/14,-0.188,UP
10/22/14,3.13,3.13,2.92,2.95,2899300,2.95,3.064,3.237,10/22/14,-0.173,UP
10/23/14,3.13,3.23,3.04,3.2,5392500,3.2,3.078,3.218,10/23/14,-0.14,UP
10/24/14,3.19,3.21,3.11,3.21,4442100,3.21,3.108,3.199,10/24/14,-0.091,UP
10/27/14,3.19,3.19,3.11,3.16,2263400,3.16,3.13,3.18,10/27/14,-0.05,UP
10/28/14,3.16,3.23,3.14,3.23,3229200,3.23,3.15,3.17,10/28/14,-0.02,UP
10/29/14,3.23,3.29,3.17,3.27,3039500,3.27,3.214,3.158,10/29/14,0.056,UP
10/30/14,3.25,3.34,3.25,3.34,2335600,3.34,3.242,3.15,10/30/14,0.092,UP
10/31/14,3.38,3.48,3.34,3.47,4289100,3.47,3.294,3.151,10/31/14,0.144,UP
11/03/14,3.47,3.7,3.42,3.69,6456700,3.69,3.4,3.17,11/03/14,0.23,UP
11/04/14,3.69,3.75,3.61,3.62,5033900,3.62,3.478,3.192,11/04/14,0.286,UP
11/05/14,3.68,3.89,3.66,3.84,7166900,3.84,3.592,3.221,11/05/14,0.371,UP
11/06/14,3.8,3.85,3.68,3.72,2085300,3.72,3.668,3.247,11/06/14,0.422,UP
11/07/14,3.73,3.79,3.71,3.75,1004400,3.75,3.724,3.286,11/07/14,0.438,UP
11/10/14,3.69,3.69,3.58,3.6,2830900,3.6,3.706,3.321,11/10/14,0.385,DOWN
